"","eppocode","pests_eppocode","idclass","labelclass","fullname"
"1237","EUOFD","HELYBU",9,"Host","Rotylenchus buxophilus (as Euonymus)"
"1238","EUOFD","HESOCA",9,"Host","Trichoferus campestris (as Euonymus)"
"1239","EUOFO","ANIDMA",9,"Host","Anisandrus maiche (as Euonymus)"
"1240","EUOFO","LEPSUS",9,"Host","Lepidosaphes ussuriensis (as Euonymus)"
"1241","EUOFO","HELYBU",9,"Host","Rotylenchus buxophilus (as Euonymus)"
"1242","EUOFO","HESOCA",9,"Host","Trichoferus campestris (as Euonymus)"
"1243","EUOLA","ANIDMA",9,"Host","Anisandrus maiche (as Euonymus)"
"1244","EUOLA","LEPSUS",9,"Host","Lepidosaphes ussuriensis (as Euonymus)"
"1245","EUOLA","HELYBU",9,"Host","Rotylenchus buxophilus (as Euonymus)"
"1246","EUOLA","HESOCA",9,"Host","Trichoferus campestris (as Euonymus)"
"1247","EUOPL","ANIDMA",9,"Host","Anisandrus maiche (as Euonymus)"
"1248","EUOPL","LEPSUS",9,"Host","Lepidosaphes ussuriensis (as Euonymus)"
"1249","EUOPL","HELYBU",9,"Host","Rotylenchus buxophilus (as Euonymus)"
"1250","EUOPL","HESOCA",9,"Host","Trichoferus campestris (as Euonymus)"
"1251","EUOSA","ANIDMA",9,"Host","Anisandrus maiche (as Euonymus)"
"1252","EUOSA","LEPSUS",9,"Host","Lepidosaphes ussuriensis (as Euonymus)"
"1253","EUOSA","HELYBU",9,"Host","Rotylenchus buxophilus (as Euonymus)"
"1254","EUOSA","HESOCA",9,"Host","Trichoferus campestris (as Euonymus)"
"1255","EUPJA","PHENPR",9,"Host","Phenacoccus peruvianus (as Eupatorium)"
"1256","EUPPU","TRSV00",9,"Host","Nepovirus nicotianae"
"1257","EUPPU","PHENPR",9,"Host","Phenacoccus peruvianus (as Eupatorium)"
"1258","FLLPA",NA,9,"Host",NA
"1259","FRMCA",NA,9,"Host",NA
"1260","FUMMU","TSWV00",9,"Host","Tomato spotted wilt virus"
"1261","FUMOF","DITYDI",9,"Host","Ditylenchus dipsaci"
"1262","FUMOF","TSWV00",9,"Host","Tomato spotted wilt virus"
"1263","FUMOF","TETREV",6,"Wild/Weed","Tetranychus evansi"
"1264","FUMOF","TOCV00",6,"Wild/Weed","Tomato chlorosis virus"
"1265","GAHAD","PHYTCN",9,"Host","Phytophthora cinnamomi (as Ericaceae)"
"1266","GAHAD","STEPTA",9,"Host","Stephanitis takeyai (as Ericaceae)"
"1267","GAXNI","DITYDI",9,"Host","Ditylenchus dipsaci"
"1268","GETSB",NA,9,"Host",NA
"1269","GRSLI","PHYTRA",9,"Host","Phytophthora ramorum"
"1270","GYPPA","DITYDI",9,"Host","Ditylenchus dipsaci"
"1271","GYPPA","LIRIBO",9,"Host","Liriomyza bryoniae"
"1272","GYPPA","LIRIHU",9,"Host","Liriomyza huidobrensis"
"1273","GYPPA","LIRITR",9,"Host","Liriomyza trifolii"
"1274","GYPPA","TSWV00",9,"Host","Tomato spotted wilt virus"
"1275","HDPVI",NA,9,"Host",NA
"1276","HECIN",NA,9,"Host",NA
"1277","HIBCA","ALECSN",9,"Host","Aleurocanthus spiniferus"
"1278","HIBCA","ALEDDI",9,"Host","Aleurodicus dispersus (as Hibiscus)"
"1279","HIBCA","ANOLCN",9,"Host","Anoplophora chinensis (as Hibiscus)"
"1280","HIBCA","ASCOGO",9,"Host","Ascochyta gossypiicola (as Hibiscus)"
"1281","HIBCA","BEMITA",9,"Host","Bemisia tabaci (as Hibiscus)"
"1282","HIBCA","BRVPYO",9,"Host","Brevipalpus yothersi (as Hibiscus)"
"1283","HIBCA","PHYPSO",9,"Host","'Candidatus Phytoplasma solani'"
"1284","HIBCA","CLCRV0",9,"Host","Cotton leaf crumple virus (as Hibiscus)"
"1285","HIBCA","DYSDCI",9,"Host","Dysdercus cingulatus"
"1286","HIBCA","DYSDCI",9,"Host","Dysdercus cingulatus (as Hibiscus)"
"1287","HIBCA","DYSDFA",9,"Host","Dysdercus fasciatus (as Hibiscus)"
"1288","HIBCA","EARIIN",9,"Host","Earias insulana (as Hibiscus)"
"1289","HIBCA","EARIVI",9,"Host","Earias vittella (as Hibiscus)"
"1290","HIBCA","ACHAFU",9,"Host","Lissachatina fulica (as Hibiscus)"
"1291","HIBCA","PHENHI",9,"Host","Maconellicoccus hirsutus"
"1292","HIBCA","TRSV00",9,"Host","Nepovirus nicotianae"
"1293","HIBCA","PRABMY",9,"Host","Parabemisia myricae (as Hibiscus)"
"1294","HIBCA","SAISNI",9,"Host","Parasaissetia nigra (as Hibiscus)"
"1295","HIBCA","PECTGO",9,"Host","Pectinophora gossypiella (as Hibiscus)"
"1296","HIBCA","PHENSO",9,"Host","Phenacoccus solenopsis"
"1297","HIBCA","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"1298","HIBCA","POPIJA",9,"Host","Popillia japonica (as Hibiscus)"
"1299","HIBCA","PSEAPE",9,"Host","Pseudaulacaspis pentagona (as Hibiscus)"
"1300","HIBCA","PRODER",9,"Host","Spodoptera eridania"
"1301","HIBCA","LAPHFR",9,"Host","Spodoptera frugiperda"
"1302","HIBCA","SPODLI",9,"Host","Spodoptera littoralis"
"1303","HIBCA","TOCV00",9,"Host","Tomato chlorosis virus"
"1304","HIBCA","TOLCND",9,"Host","Tomato leaf curl New Delhi virus"
"1305","HIBCA","OXYALV",1,"Major host","Oxycarenus lavaterae (as Hibiscus)"
"1306","HIBCA","XYLBCR",1,"Major host","Xylosandrus crassiusculus (as Hibiscus)"
"1307","HISIN","PYDV00",10,"Experimental","Alphanucleorhabdovirus tuberosum (as Brassicaceae)"
"1308","HISIN","AGROSE",9,"Host","Agrotis segetum (as Brassicaceae)"
"1309","HISIN","ATALCO",9,"Host","Athalia rosae (as Brassicaceae)"
"1310","HISIN","BEMITA",9,"Host","Bemisia tabaci (as Brassicaceae)"
"1311","HISIN","CEUTPL",9,"Host","Ceutorhynchus assimilis (as Brassicaceae)"
"1312","HISIN","CEUTSL",9,"Host","Ceutorhynchus sulcicollis (as Brassicaceae)"
"1313","HISIN","CONTNA",9,"Host","Contarinia nasturtii (as Brassicaceae)"
"1314","HISIN","HYLEFL",9,"Host","Delia floralis (as Brassicaceae)"
"1315","HISIN","HYLEFG",9,"Host","Delia florilega (as Brassicaceae)"
"1316","HISIN","HYLEPL",9,"Host","Delia platura (as Brassicaceae)"
"1317","HISIN","EURDOL",9,"Host","Eurydema oleraceum (as Brassicaceae)"
"1318","HISIN","EURDOR",9,"Host","Eurydema ornata (as Brassicaceae)"
"1319","HISIN","HELPRU",9,"Host","Helophorus rufipes (as Brassicaceae)"
"1320","HISIN","PALEMA",9,"Host","Nephrotoma appendiculata (as Brassicaceae)"
"1321","HISIN","OTALLA",9,"Host","Otala lactea (as Brassicaceae)"
"1322","HISIN","PHYEAT",9,"Host","Phyllotreta atra (as Brassicaceae)"
"1323","HISIN","PHYECR",9,"Host","Phyllotreta cruciferae (as Brassicaceae)"
"1324","HISIN","PHYYRU",9,"Host","Phytomyza rufipes (as Brassicaceae)"
"1325","HISIN","PIERBR",9,"Host","Pieris brassicae (as Brassicaceae)"
"1326","HISIN","PLADBR",9,"Host","Plasmodiophora brassicae (as Brassicaceae)"
"1327","HISIN","LEPTMA",9,"Host","Plenodomus lingam (as Brassicaceae)"
"1328","HISIN","PSYICH",9,"Host","Psylliodes chrysocephala (as Brassicaceae)"
"1329","HISIN","SPODMA",9,"Host","Spodoptera mauritia (as Brassicaceae)"
"1330","HISIN","TATOAU",9,"Host","Tatochila autodice (as Brassicaceae)"
"1331","HISIN","TSWV00",9,"Host","Tomato spotted wilt virus"
"1332","HISIN","TYLOBR",9,"Host","Tyloderma brassicae (as Brassicaceae)"
"1333","HISIN","APHRPE",6,"Wild/Weed","Aphrophora permutata"
"1334","HISIN","SPIRCI",6,"Wild/Weed","Spiroplasma citri (as Brassicaceae)"
"1335","HKASE",NA,9,"Host",NA
"1336","HOKPE",NA,9,"Host",NA
"1337","HOTCO",NA,9,"Host",NA
"1338","HSTEL","PRODPR",9,"Host","Spodoptera praefica (as Hosta)"
"1339","HSTEL","HVX000",1,"Major host","Hosta virus X (as Hosta)"
"1340","HSTSI","MELGCH",9,"Host","Meloidogyne chitwoodi"
"1341","HSTSI","PRODPR",9,"Host","Spodoptera praefica (as Hosta)"
"1342","HSTSI","HVX000",1,"Major host","Hosta virus X (as Hosta)"
"1343","HSYNI","LIBEPS",10,"Experimental","'Candidatus Liberibacter solanacearum'"
"1344","HSYNI","AVBO00",10,"Experimental","Cheravirus arracaciae oca strain (as Solanaceae)"
"1345","HSYNI","CORBMI",10,"Experimental","Clavibacter michiganensis subsp. michiganensis"
"1346","HSYNI","CORBSE",10,"Experimental","Clavibacter sepedonicus"
"1347","HSYNI","PVT000",10,"Experimental","Potato virus T"
"1348","HSYNI","TSVP00",10,"Experimental","Tobacco streak ilarvirus potato strain (as Solanaceae)"
"1349","HSYNI","APLV00",10,"Experimental","Tymovirus latandigenum"
"1350","HSYNI","VASALY",9,"Host","Aculops lycopersici (as Solanaceae)"
"1351","HSYNI","BEMITA",9,"Host","Bemisia tabaci (as Solanaceae)"
"1352","HSYNI","DITYDI",9,"Host","Ditylenchus dipsaci"
"1353","HSYNI","EPILVI",9,"Host","Epilachna vigintioctomaculata (as Solanaceae)"
"1354","HSYNI","PCFVD0",9,"Host","Pepper chat fruit viroid (as Solanaceae)"
"1355","HSYNI","PHTOOP",9,"Host","Phthorimaea operculella (as Solanaceae)"
"1356","HSYNI","TSWV00",9,"Host","Tomato spotted wilt virus"
"1357","HSYNI","PYDV00",6,"Wild/Weed","Alphanucleorhabdovirus tuberosum (as Solanaceae)"
"1358","HSYNI","EPIXSU",6,"Wild/Weed","Epitrix subcrinita"
"1359","HSYNI","LPTNDE",6,"Wild/Weed","Leptinotarsa decemlineata"
"1360","HSYNI","PHOMAN",6,"Wild/Weed","Stagonosporopsis andigena (as Solanaceae)"
"1361","HSYNI","XANTVE",6,"Wild/Weed","Xanthomonas vesicatoria"
"1362","HUMJA","LIRIHU",9,"Host","Liriomyza huidobrensis"
"1363","HUMJA","LYCMDE",9,"Host","Lycorma delicatula"
"1364","HUMJA","POCZSH",9,"Host","Pochazia shantungensis"
"1365","HUMJA","TETREV",9,"Host","Tetranychus evansi"
"1366","HUMJA","TSWV00",9,"Host","Tomato spotted wilt virus"
"1367","HUMLC",NA,9,"Host",NA
"1368","HUMLU","ACNLCO",9,"Host","Acanalonia conica"
"1369","HUMLU","AFCVD0",9,"Host","Apple fruit crinkle viroid"
"1370","HUMLU","APMV00",9,"Host","Apple mosaic virus"
"1371","HUMLU","TORTPO",9,"Host","Epiphyas postvittana"
"1372","HUMLU","HYPHCU",9,"Host","Hyphantria cunea"
"1373","HUMLU","LYCMDE",9,"Host","Lycorma delicatula"
"1374","HUMLU","HEMELE",9,"Host","Orgyia leucostigma"
"1375","HUMLU","PYRUNU",9,"Host","Ostrinia nubilalis"
"1376","HUMLU","PHYECR",9,"Host","Phyllotreta cruciferae"
"1377","HUMLU","POPIJA",9,"Host","Popillia japonica"
"1378","HUMLU","CBCVD0",1,"Major host","Citrus bark cracking viroid"
"1379","HUMLU","HSVD00",1,"Major host","Hop stunt viroid"
"1380","HUMLU","ARMV00",1,"Major host","Nepovirus arabis"
"1381","HUMLU","VERTDH",1,"Major host","Verticillium dahliae hop strains"
"1382","HUMLU","VERTAH",1,"Major host","Verticillium nonalfalfae hop strains"
"1383","HYEAA","LUPMXA",9,"Host","Luperomorpha xanthodera (as Hydrangea)"
"1384","HYEAA","SCITDO",9,"Host","Scirtothrips dorsalis (as Hydrangea)"
"1385","HYEAA","THRISE",1,"Major host","Thrips setosus (as Hydrangea)"
"1386","HYEAB","LUPMXA",9,"Host","Luperomorpha xanthodera (as Hydrangea)"
"1387","HYEAB","SCITDO",9,"Host","Scirtothrips dorsalis (as Hydrangea)"
"1388","HYEAB","THRISE",1,"Major host","Thrips setosus (as Hydrangea)"
"1389","HYEAS","LUPMXA",9,"Host","Luperomorpha xanthodera (as Hydrangea)"
"1390","HYEAS","SCITDO",9,"Host","Scirtothrips dorsalis (as Hydrangea)"
"1391","HYEAS","THRISE",1,"Major host","Thrips setosus (as Hydrangea)"
"1392","HYPCA","STERPU",9,"Host","Chondrostereum purpureum"
"1393","HYPCA","ICERSE",9,"Host","Icerya seychellarum"
"1394","HYPCA","LUPMXA",9,"Host","Luperomorpha xanthodera (as Hypericum)"
"1395","HYPCA","PSECCO",9,"Host","Pseudococcus comstocki"
"1396","HYPCA","THRIHA",9,"Host","Thrips hawaiiensis"
"1397","HYPER","LUPMXA",9,"Host","Luperomorpha xanthodera (as Hypericum)"
"1398","IASHF","FIORCO",9,"Host","Fiorinia phantasma (as Jasminum)"
"1399","IASHF","HEMELE",9,"Host","Orgyia leucostigma (as Jasminum)"
"1400","IASHF","PRODOR",9,"Host","Spodoptera ornithogalli (as Jasminum)"
"1401","ILEAT","ANOLCN",9,"Host","Anoplophora chinensis (as Ilex)"
"1402","ILEAT","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Ilex)"
"1403","ILEAT","HOMLTR",9,"Host","Homalodisca vitripennis (as Ilex)"
"1404","ILEAT","HESOCA",9,"Host","Trichoferus campestris (as Ilex)"
"1405","ILECA","ANOLCN",9,"Host","Anoplophora chinensis (as Ilex)"
"1406","ILECA","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Ilex)"
"1407","ILECA","HOMLTR",9,"Host","Homalodisca vitripennis (as Ilex)"
"1408","ILECA","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"1409","ILECA","HESOCA",9,"Host","Trichoferus campestris (as Ilex)"
"1410","ILEGL","ANOLCN",9,"Host","Anoplophora chinensis (as Ilex)"
"1411","ILEGL","CERPFL",9,"Host","Ceroplastes floridensis"
"1412","ILEGL","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Ilex)"
"1413","ILEGL","HOMLTR",9,"Host","Homalodisca vitripennis"
"1414","ILEGL","HOMLTR",9,"Host","Homalodisca vitripennis (as Ilex)"
"1415","ILEGL","INSV00",9,"Host","Impatiens necrotic spot virus"
"1416","ILEGL","HESOCA",9,"Host","Trichoferus campestris (as Ilex)"
"1417","ILEMY","ANOLCN",9,"Host","Anoplophora chinensis (as Ilex)"
"1418","ILEMY","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Ilex)"
"1419","ILEMY","HOMLTR",9,"Host","Homalodisca vitripennis (as Ilex)"
"1420","ILEMY","HESOCA",9,"Host","Trichoferus campestris (as Ilex)"
"1421","IMPCK",NA,9,"Host",NA
"1422","IMPCY","MELGGC",6,"Wild/Weed","Meloidogyne graminicola"
"1423","IUGCA","ANOLCN",9,"Host","Anoplophora chinensis (as Juglans)"
"1424","IUGCA","APRIGE",9,"Host","Apriona germari (as Juglans)"
"1425","IUGCA","EUWAWH",9,"Host","Euwallacea fornicatus sensu stricto"
"1426","IUGCA","EUWAKU",9,"Host","Euwallacea kuroshio (as Juglans)"
"1427","IUGCA","GEOHMO",9,"Host","Geosmithia morbida"
"1428","IUGCA","GEOHMO",9,"Host","Geosmithia morbida (as Juglans)"
"1429","IUGCA","LASPFU",9,"Host","Grapholita funebrana (as Juglans)"
"1430","IUGCA","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"1431","IUGCA","PITOJU",9,"Host","Pityophthorus juglandis"
"1432","IUGCA","PITOJU",9,"Host","Pityophthorus juglandis (as Juglans)"
"1433","IUGCA","RHAGCO",9,"Host","Rhagoletis completa"
"1434","IUGCA","RHAGCO",9,"Host","Rhagoletis completa (as Juglans)"
"1435","IUGCA","RHAGSU",9,"Host","Rhagoletis suavis (as Juglans)"
"1436","IUGCA","PRODPR",9,"Host","Spodoptera praefica (as Juglans)"
"1437","IUGCA","THAUPR",9,"Host","Thaumetopoea processionea (as Juglans)"
"1438","IUGCA","HESOCA",9,"Host","Trichoferus campestris (as Juglans)"
"1439","IUGMI","ANOLCN",9,"Host","Anoplophora chinensis (as Juglans)"
"1440","IUGMI","APRIGE",9,"Host","Apriona germari (as Juglans)"
"1441","IUGMI","EUWAKU",9,"Host","Euwallacea kuroshio (as Juglans)"
"1442","IUGMI","GEOHMO",9,"Host","Geosmithia morbida"
"1443","IUGMI","GEOHMO",9,"Host","Geosmithia morbida (as Juglans)"
"1444","IUGMI","LASPFU",9,"Host","Grapholita funebrana (as Juglans)"
"1445","IUGMI","LYCMDE",9,"Host","Lycorma delicatula"
"1446","IUGMI","PITOJU",9,"Host","Pityophthorus juglandis"
"1447","IUGMI","PITOJU",9,"Host","Pityophthorus juglandis (as Juglans)"
"1448","IUGMI","RHAGCO",9,"Host","Rhagoletis completa"
"1449","IUGMI","RHAGCO",9,"Host","Rhagoletis completa (as Juglans)"
"1450","IUGMI","RHAGSU",9,"Host","Rhagoletis suavis (as Juglans)"
"1451","IUGMI","PRODPR",9,"Host","Spodoptera praefica (as Juglans)"
"1452","IUGMI","THAUPR",9,"Host","Thaumetopoea processionea (as Juglans)"
"1453","IUGMI","HESOCA",9,"Host","Trichoferus campestris (as Juglans)"
"1454","IUGRE","ARGPLE",11,"Doubtful host","Thaumatotibia leucotreta"
"1455","IUGRE","ANSTLU",10,"Experimental","Anastrepha ludens"
"1456","IUGRE","SIROCJ",10,"Experimental","Ophiognomonia clavigignenti-juglandacearum"
"1457","IUGRE","AGRBTU",9,"Host","Agrobacterium tumefaciens"
"1458","IUGRE","ANSTFR",9,"Host","Anastrepha fraterculus"
"1459","IUGRE","ANOLCN",9,"Host","Anoplophora chinensis (as Juglans)"
"1460","IUGRE","APRIGE",9,"Host","Apriona germari"
"1461","IUGRE","APRIGE",9,"Host","Apriona germari (as Juglans)"
"1462","IUGRE","AROMBU",9,"Host","Aromia bungii"
"1463","IUGRE","DACUDO",9,"Host","Bactrocera dorsalis"
"1464","IUGRE","DACUTR",9,"Host","Bactrocera tryoni"
"1465","IUGRE","BRVPYO",9,"Host","Brevipalpus yothersi"
"1466","IUGRE","CERTCA",9,"Host","Ceratitis capitata"
"1467","IUGRE","CHRBMA",9,"Host","Chrysobothris mali"
"1468","IUGRE","COLLFC",9,"Host","Colletotrichum fructicola"
"1469","IUGRE","QUADPE",9,"Host","Comstockaspis perniciosa"
"1470","IUGRE","CARPPO",9,"Host","Cydia pomonella"
"1471","IUGRE","DIABUN",9,"Host","Diabrotica undecimpunctata undecimpunctata"
"1472","IUGRE","EURHBR",9,"Host","Eurhizococcus brasiliensis"
"1473","IUGRE","EUTYLA",9,"Host","Eutypa lata"
"1474","IUGRE","EUWAWH",9,"Host","Euwallacea fornicatus sensu stricto"
"1475","IUGRE","EUWAKU",9,"Host","Euwallacea kuroshio (as Juglans)"
"1476","IUGRE","GEOHMO",9,"Host","Geosmithia morbida"
"1477","IUGRE","GEOHMO",9,"Host","Geosmithia morbida (as Juglans)"
"1478","IUGRE","LASPFU",9,"Host","Grapholita funebrana (as Juglans)"
"1479","IUGRE","HALYHA",9,"Host","Halyomorpha halys"
"1480","IUGRE","HOMLTR",9,"Host","Homalodisca vitripennis"
"1481","IUGRE","HYPHCU",9,"Host","Hyphantria cunea"
"1482","IUGRE","LOPLJA",9,"Host","Lopholeucaspis japonica"
"1483","IUGRE","PLTPMU",9,"Host","Megaplatypus mutatus"
"1484","IUGRE","NAUPXA",9,"Host","Naupactus xanthographus"
"1485","IUGRE","CLRV00",9,"Host","Nepovirus avii"
"1486","IUGRE","OEMOHI",9,"Host","Oemona hirta"
"1487","IUGRE","OLIGPA",9,"Host","Oligonychus perseae"
"1488","IUGRE","CHEIBR",9,"Host","Operophtera brumata"
"1489","IUGRE","HEMELE",9,"Host","Orgyia leucostigma"
"1490","IUGRE","ORIEIS",9,"Host","Orientus ishidae"
"1491","IUGRE","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"1492","IUGRE","PHYTCC",9,"Host","Phytophthora cactorum"
"1493","IUGRE","PHYTCN",9,"Host","Phytophthora cinnamomi"
"1494","IUGRE","PITOJU",9,"Host","Pityophthorus juglandis"
"1495","IUGRE","PITOJU",9,"Host","Pityophthorus juglandis (as Juglans)"
"1496","IUGRE","PLAAST",9,"Host","Platynota stultana"
"1497","IUGRE","POCZSH",9,"Host","Pochazia shantungensis"
"1498","IUGRE","PSEAPE",9,"Host","Pseudaulacaspis pentagona"
"1499","IUGRE","RHAGCO",9,"Host","Rhagoletis completa"
"1500","IUGRE","RHAGCO",9,"Host","Rhagoletis completa (as Juglans)"
"1501","IUGRE","RHAGSU",9,"Host","Rhagoletis suavis"
"1502","IUGRE","RHAGSU",9,"Host","Rhagoletis suavis (as Juglans)"
"1503","IUGRE","RHAGZO",9,"Host","Rhagoletis zoqui"
"1504","IUGRE","LAPHFR",9,"Host","Spodoptera frugiperda"
"1505","IUGRE","PRODPR",9,"Host","Spodoptera praefica (as Juglans)"
"1506","IUGRE","THAUPR",9,"Host","Thaumetopoea processionea (as Juglans)"
"1507","IUGRE","HESOCA",9,"Host","Trichoferus campestris"
"1508","IUGRE","HESOCA",9,"Host","Trichoferus campestris (as Juglans)"
"1509","IUGRE","TROGGA",9,"Host","Trogoderma granarium"
"1510","IUGRE","XYLEFA",9,"Host","Xylella fastidiosa"
"1511","IUGRE","XYLEFF",9,"Host","Xylella fastidiosa subsp. fastidiosa"
"1512","IUGRE","XYLBGE",9,"Host","Xylosandrus germanus"
"1513","IUGRE","DRYOHI",1,"Major host","Dryocoetes himalayensis"
"1514","IUGRE","ERSHMU",1,"Major host","Garella musculana"
"1515","IUGRE","NECTGA",1,"Major host","Neonectria ditissima"
"1516","IUGRE","PSECOB",1,"Major host","Pseudococcus viburni"
"1517","IUGRE","AELSSA",1,"Major host","Trirachys sartus"
"1518","IUGRE","XANTJU",1,"Major host","Xanthomonas arboricola pv. juglandis"
"1519","IUGRE","XYLONM",1,"Major host","Xylotrechus namanganensis"
"1520","IUNED","HIRSOR",10,"Experimental","Hirschmanniella oryzae (as Juncus)"
"1521","IUNEF","HIRSOR",10,"Experimental","Hirschmanniella oryzae (as Juncus)"
"1522","IUPAS","GYMNGL",3,"Alternate","Gymnosporangium globosum (as Juniperus)"
"1523","IUPAS","GYMNJV",3,"Alternate","Gymnosporangium juniperi-virginianae (as Juniperus)"
"1524","IUPAS","POTECO",9,"Host","Allantophomopsiella pseudotsugae (as Juniperus)"
"1525","IUPAS","ASCXEP",9,"Host","Aschistonyx eppoi (as Juniperus)"
"1526","IUPAS","PHECPI",9,"Host","Chionaspis pinifoliae (as Juniperus)"
"1527","IUPAS","CHONFU",9,"Host","Choristoneura fumiferana (as Juniperus)"
"1528","IUPAS","TODOCU",9,"Host","Cinara curvipes (as Juniperus)"
"1529","IUPAS","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Juniperus)"
"1530","IUPAS","HETEIR",9,"Host","Heterobasidion irregulare (as Juniperus)"
"1531","IUPAS","OLIGPD",9,"Host","Oligonychus perditus (as Juniperus)"
"1532","IUPAS","PHYTCN",9,"Host","Phytophthora cinnamomi (as Cupressaceae)"
"1533","IUPAS","SEIRCA",9,"Host","Seiridium cardinale (as Juniperus)"
"1534","IUPAS","PRODOR",9,"Host","Spodoptera ornithogalli (as Juniperus)"
"1535","IUPAS","STIGDE",9,"Host","Stigmina deflectens (as Juniperus)"
"1536","IUPAS","SPNACU",1,"Major host","Siphonatrophia cupressi (as Juniperus)"
"1537","IUPOM","GYMNGL",3,"Alternate","Gymnosporangium globosum (as Juniperus)"
"1538","IUPOM","GYMNJV",3,"Alternate","Gymnosporangium juniperi-virginianae (as Juniperus)"
"1539","IUPOM","POTECO",9,"Host","Allantophomopsiella pseudotsugae (as Juniperus)"
"1540","IUPOM","ASCXEP",9,"Host","Aschistonyx eppoi (as Juniperus)"
"1541","IUPOM","PHECPI",9,"Host","Chionaspis pinifoliae (as Juniperus)"
"1542","IUPOM","CHONFU",9,"Host","Choristoneura fumiferana (as Juniperus)"
"1543","IUPOM","TODOCU",9,"Host","Cinara curvipes (as Juniperus)"
"1544","IUPOM","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Juniperus)"
"1545","IUPOM","HETEIR",9,"Host","Heterobasidion irregulare (as Juniperus)"
"1546","IUPOM","OLIGPD",9,"Host","Oligonychus perditus (as Juniperus)"
"1547","IUPOM","PHYTCN",9,"Host","Phytophthora cinnamomi (as Cupressaceae)"
"1548","IUPOM","SEIRCA",9,"Host","Seiridium cardinale (as Juniperus)"
"1549","IUPOM","PRODOR",9,"Host","Spodoptera ornithogalli (as Juniperus)"
"1550","IUPOM","STIGDE",9,"Host","Stigmina deflectens (as Juniperus)"
"1551","IUPOM","SPNACU",1,"Major host","Siphonatrophia cupressi (as Juniperus)"
"1552","IUPOO","GYMNGL",3,"Alternate","Gymnosporangium globosum (as Juniperus)"
"1553","IUPOO","GYMNJV",3,"Alternate","Gymnosporangium juniperi-virginianae (as Juniperus)"
"1554","IUPOO","POTECO",9,"Host","Allantophomopsiella pseudotsugae (as Juniperus)"
"1555","IUPOO","ASCXEP",9,"Host","Aschistonyx eppoi (as Juniperus)"
"1556","IUPOO","PHECPI",9,"Host","Chionaspis pinifoliae (as Juniperus)"
"1557","IUPOO","CHONFU",9,"Host","Choristoneura fumiferana (as Juniperus)"
"1558","IUPOO","TODOCU",9,"Host","Cinara curvipes (as Juniperus)"
"1559","IUPOO","DIABVZ",9,"Host","Diabrotica virgifera zeae (as Juniperus)"
"1560","IUPOO","HETEIR",9,"Host","Heterobasidion irregulare (as Juniperus)"
"1561","IUPOO","OLIGPD",9,"Host","Oligonychus perditus (as Juniperus)"
"1562","IUPOO","PHYTCN",9,"Host","Phytophthora cinnamomi (as Cupressaceae)"
"1563","IUPOO","SEIRCA",9,"Host","Seiridium cardinale (as Juniperus)"
"1564","IUPOO","PRODOR",9,"Host","Spodoptera ornithogalli (as Juniperus)"
"1565","IUPOO","STIGDE",9,"Host","Stigmina deflectens (as Juniperus)"
"1566","IUPOO","SPNACU",1,"Major host","Siphonatrophia cupressi (as Juniperus)"
"1567","KAMAN","ACLRMI",9,"Host","Acleris minuta"
"1568","KAMAN","CHONPA",9,"Host","Choristoneura parallela"
"1569","KAMAN","HEMELE",9,"Host","Orgyia leucostigma (as Kalmia)"
"1570","KAMAN","PHYTCN",9,"Host","Phytophthora cinnamomi (as Ericaceae)"
"1571","KAMAN","PHYTRA",9,"Host","Phytophthora ramorum"
"1572","KAMAN","STEPTA",9,"Host","Stephanitis takeyai (as Ericaceae)"
"1573","KAMAN","PHYTRA",1,"Major host","Phytophthora ramorum (as Kalmia)"
"1574","KAMCA","HEMELE",9,"Host","Orgyia leucostigma (as Kalmia)"
"1575","KAMCA","PHYTCN",9,"Host","Phytophthora cinnamomi (as Ericaceae)"
"1576","KAMCA","STEPTA",9,"Host","Stephanitis takeyai (as Ericaceae)"
"1577","KAMCA","PHYTRA",1,"Major host","Phytophthora ramorum (as Kalmia)"
"1578","KAMLA","HEMELE",9,"Host","Orgyia leucostigma (as Kalmia)"
"1579","KAMLA","PHMPOM",9,"Host","Phymatotrichopsis omnivora"
"1580","KAMLA","PHYTCN",9,"Host","Phytophthora cinnamomi"
"1581","KAMLA","PHYTCN",9,"Host","Phytophthora cinnamomi (as Ericaceae)"
"1582","KAMLA","STEPTA",9,"Host","Stephanitis takeyai (as Ericaceae)"
"1583","KAMLA","PHYTRA",1,"Major host","Phytophthora ramorum"
"1584","KAMLA","PHYTRA",1,"Major host","Phytophthora ramorum (as Kalmia)"
"1585","KAMLA","STEPPY",1,"Major host","Stephanitis pyrioides"
"1586","KAMPO","HEMELE",9,"Host","Orgyia leucostigma (as Kalmia)"
